RECIPE,GLASS_ID,exp_label,prd_label,grp_label,EVENTTIME
AL,L2E9125A1172,17,2,2,2019/2/26 7:13
AL,L2E9125A1091,17,2,2,2019/2/26 7:52
AL,L2E9125A1241,17,2,2,2019/2/26 8:32
AL,L2E9130A5132,17,2,2,2019/2/26 9:11
AL,L2E9130A5061,17,2,2,2019/2/26 9:51
AL,L2E9130A5261,17,2,2,2019/2/26 10:30
KPQ,L2E9129A4142,17,2,2,2019/2/26 12:00
KPQ,L2E9129A5261,17,2,2,2019/2/26 12:36
KPQ,L2E9129A4201,17,2,2,2019/2/26 13:35
KPQ,L2E9204A7132,17,2,2,2019/2/26 14:09
KPQ,L2E9204A7262,17,2,2,2019/2/26 15:52
KPQ,L2E9204A7191,17,2,2,2019/2/26 16:44
KPQ,L2E9203A5252,17,2,2,2019/2/26 17:48
