优化时间,腔室,Port,Mask ID,优化前X,优化前Y,优化前T,改变量X,改变量Y,改变量T,优化后X,优化后Y,优化后T
2019-07-06 03:54:05,OC_4,A,1F1B647FH1A007,-1.0,1.0,0.0,0.5,-0.5,7.0,-1.5,1.5,-7.0
2019-07-06 03:54:05,OC_4,A,1F1B647FH1A007,-1.0,1.0,0.0,2.0,-0.5,-2.0,-1.5,3.0,2.0
2019-07-06 03:54:05,OC_4,B,1F1B647FH1A006,-1.0,-1.0,10.0,0.5,-0.5,5.0,-1.5,-0.5,5.0
2019-07-06 03:54:05,OC_5,A,1F2G647FH1A007,-2.0,0.0,10.0,-2.5,-2.5,-8.0,-4.5,-2.5,18.0
2019-07-06 03:54:05,OC_5,A,1F2G647FH1A007,-2.0,0.0,10.0,-2.0,-2.0,-1.0,-4.0,-2.0,11.0
2019-07-06 03:54:05,OC_5,B,1F2G647FH1A006,0.5,-2.0,0.0,3.0,-1.0,-14.0,-0.5,1.0,14.0
2019-07-06 03:54:05,OC_6,A,1F1G647FH1A007,-0.5,-3.5,0.0,-0.5,0.0,2.0,-0.5,-4.0,-2.0
2019-07-06 03:54:05,OC_6,A,1F1G647FH1A007,-0.5,-3.5,0.0,0.0,0.0,-8.0,-0.5,-3.5,8.0
2019-07-06 03:54:05,OC_6,B,1F1G647FH1A009,-2.0,-2.0,10.0,-0.5,1.5,-9.0,-0.5,-2.5,19.0
2019-07-06 03:54:05,OC_7,A,1F2R647FH1A008,-1.0,-2.0,20.0,-2.5,-0.5,22.0,-1.5,-4.5,-2.0
2019-07-06 03:54:05,OC_7,A,1F2R647FH1A008,-1.0,-2.0,20.0,-2.0,-1.0,10.0,-2.0,-4.0,10.0
2019-07-06 03:54:05,OC_7,B,1F2R647FH1A006,-0.5,-1.5,0.0,0.0,0.5,22.0,0.0,-1.5,-22.0
2019-07-06 03:54:05,OC_8,A,1F1R647FH1A007,0.5,-2.5,0.0,-1.5,0.5,11.0,1.0,-4.0,-11.0
2019-07-06 03:54:05,OC_8,A,1F1R647FH1A007,0.5,-2.5,0.0,0.5,0.5,7.0,1.0,-2.0,-7.0
2019-07-06 03:54:05,OC_8,B,1F1R647FH1A004,1.0,-5.5,0.0,-1.5,-1.5,9.0,-0.5,-7.0,-9.0
