PRODUCTID,GROUPID,LINE,CHAMBER,PORT,CYCLEID,STARTTIME,ENDTIME,DELTA_X,DELTA_Y,DELTA_THT,OFFSET_X,OFFSET_Y,OFFSET_THT
G2647FB101FQ-007E,0,2,OC_4,A,0,2019-05-14 23:04:15,2019-05-15 02:05:55,0.5,0,-5.13,-4,-5.5,5
G2647FB101FQ-007E,0,2,OC_4,B,0,2019-05-14 23:04:15,2019-05-15 02:05:55,1,-2,3.727,2,-1.5,0
G2647FB101FQ-007E,0,2,OC_5,A,0,2019-05-14 23:12:00,2019-05-15 02:11:39,-0.5,0,-1,-4,-2,10
G2647FB101FQ-007E,0,2,OC_5,B,0,2019-05-14 23:12:00,2019-05-15 02:11:39,-0.5,1.5,6.643,-1.5,2,0
G2647FB101FQ-007E,0,2,OC_6,A,0,2019-05-14 23:18:29,2019-05-15 02:17:47,0.5,0.5,-15,-2.5,-1.5,0
G2647FB101FQ-007E,0,2,OC_6,B,0,2019-05-14 23:18:29,2019-05-15 02:17:47,-0.5,0.5,-4.769,0,0,0
G2647FB101FQ-007E,0,2,OC_7,A,0,2019-05-14 23:26:17,2019-05-15 02:25:28,-1,-0.5,1.265,-1.5,-2,10
G2647FB101FQ-007E,0,2,OC_7,B,0,2019-05-14 23:26:17,2019-05-15 02:25:28,-1.5,-1.5,-10.4,0,1.5,-10
G2647FB101FQ-007E,0,2,OC_8,A,0,2019-05-14 23:32:37,2019-05-15 02:34:25,-1,0,-2.308,0,-3,0
G2647FB101FQ-007E,0,2,OC_8,B,0,2019-05-14 23:32:37,2019-05-15 02:34:25,-1,1,12.444,0,0,10
